Size,partb_one,partb_two,partb_three
1000,0.029381451999142882,0.0002569700009189546,0.00013458900139085017
2000,0.11954666600104247,0.0005672119987139013,0.0002442339991830522
3000,0.29185200599931704,0.0007886960011092015,0.00042138099888688885
4000,0.46650718199998664,0.0011280440012342297,0.00047212500066962093
5000,0.7374980260010489,0.0014872890005790396,0.0006218100006663008
6000,1.1984598280014325,0.0019647799999802373,0.0006750219999958063
7000,1.468751145999704,0.002225792999524856,0.0008188379997591255
8000,1.955508409999311,0.001678988001003745,0.0009691310006019194
9000,2.351911100999132,0.0019239500015828526,0.0010184069997194456
10000,2.937312195999766,0.0021765580004284857,0.0012946609986101976
